;league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
103;Liga Pro (Rusia);1;g_25_U99t2Zn6;Finalizado;2021-01-28 00:00:00;Klavdenkov A. (Rus);Gribkov A. (Rus);3;0;[{'home': 11, 'away': 5}, {'home': 11, 'away': 6}, {'home': 13, 'away': 11}];1.83;1.83
104;Liga Pro (Rusia);1;g_25_AZB72Yen;Finalizado;2021-01-28 00:00:00;Zhulyabin V. (Rus);Migalov I. (Rus);2;3;[{'home': 5, 'away': 11}, {'home': 12, 'away': 10}, {'home': 6, 'away': 11}, {'home': 13, 'away': 11}, {'home': 4, 'away': 11}];3.2;1.28
105;Liga Pro (Rusia);1;g_25_G4E07UOo;Finalizado;2021-01-28 00:00:00;Kuzmin S. (Rus);Sadkov A. (Rus);2;3;[{'home': 9, 'away': 11}, {'home': 11, 'away': 6}, {'home': 12, 'away': 10}, {'home': 6, 'away': 11}, {'home': 10, 'away': 12}];1.3;3.0
106;Liga Pro (Rusia);1;g_25_808p1g2C;Finalizado;2021-01-28 00:00:00;Bazilevskii V. (Rus);Kryuchkov E. (Rus);3;1;[{'home': 8, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 5}, {'home': 11, 'away': 7}];3.5;1.23
107;Liga Pro (Rusia);1;g_25_U7I46lvh;Finalizado;2021-01-28 00:00:00;Chernov V. (Rus);Tikhnenko D. (Rus);0;3;[{'home': 9, 'away': 11}, {'home': 9, 'away': 11}, {'home': 5, 'away': 11}];1.6;2.1
108;Liga Pro (Rusia);1;g_25_j9oMpXNp;Finalizado;2021-01-28 00:00:00;Zhulyabin V. (Rus);Pronin O. (Rus);3;0;[{'home': 11, 'away': 9}, {'home': 13, 'away': 11}, {'home': 11, 'away': 6}];;
109;Liga Pro (Rusia);1;g_25_6R0LuUID;Finalizado;2021-01-28 00:00:00;Chernov V. (Rus);Kuzmin S. (Rus);3;2;[{'home': 11, 'away': 7}, {'home': 13, 'away': 15}, {'home': 11, 'away': 9}, {'home': 4, 'away': 11}, {'home': 11, 'away': 7}];;
110;Liga Pro (Rusia);1;g_25_lYSnAxTS;Finalizado;2021-01-28 00:00:00;Kryuchkov E. (Rus);Gribkov A. (Rus);3;2;[{'home': 11, 'away': 6}, {'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 9, 'away': 11}, {'home': 11, 'away': 8}];;
111;Liga Pro (Rusia);1;g_25_4CZ39G0o;Finalizado;2021-01-28 00:00:00;Migalov I. (Rus);Abanokov Z. (Rus);3;1;[{'home': 9, 'away': 11}, {'home': 15, 'away': 13}, {'home': 11, 'away': 8}, {'home': 11, 'away': 8}];;
112;Liga Pro (Rusia);1;g_25_0QB4SJrc;Finalizado;2021-01-28 00:00:00;Klavdenkov A. (Rus);Bazilevskii V. (Rus);3;1;[{'home': 6, 'away': 11}, {'home': 12, 'away': 10}, {'home': 11, 'away': 5}, {'home': 11, 'away': 9}];;
113;Liga Pro (Rusia);1;g_25_GbgZVD6n;Finalizado;2021-01-28 00:00:00;Tikhnenko D. (Rus);Sadkov A. (Rus);0;3;[{'home': 4, 'away': 11}, {'home': 11, 'away': 13}, {'home': 8, 'away': 11}];;
114;Liga Pro (Rusia);1;g_25_4GocvM9d;Finalizado;2021-01-28 00:00:00;Serebrennikov A. (Rus);Zhurba N. (Rus);3;2;[{'home': 11, 'away': 9}, {'home': 5, 'away': 11}, {'home': 12, 'away': 10}, {'home': 8, 'away': 11}, {'home': 11, 'away': 4}];2.58;1.4
115;Liga Pro (Rusia);1;g_25_d2MgBwQJ;Finalizado;2021-01-28 00:00:00;Suntsov A. (Rus);Ilin A. (Rus);1;3;[{'home': 6, 'away': 11}, {'home': 5, 'away': 11}, {'home': 11, 'away': 9}, {'home': 7, 'away': 11}];2.22;1.55
116;Liga Pro (Rusia);1;g_25_2y5zK78i;Finalizado;2021-01-28 00:00:00;Shagarov O. (Rus);Petrochenko D. (Rus);3;0;[{'home': 11, 'away': 9}, {'home': 11, 'away': 8}, {'home': 11, 'away': 8}];2.1;1.6
