"h_wt_score";"a_wt_score";"h_h2h_wins";"a_h2h_wins";"t_h2h";"h_h2h_wt_score";"a_h2h_wt_score";"h_lg_wt_score";"a_lg_wt_score";"h_d_opp_wt_score";"a_d_opp_wt_score";"winner"
20.2986089760;8.6350314897;2;3;5;34.3000000000;37.4000000000;28.4800000000;25.1600000000;37.0000000000;34.1666666667;1
8.6350314897;-20.7754567563;0;3;3;9.3333333333;38.0000000000;25.1600000000;26.9200000000;29.2500000000;35.2500000000;2
16.3805263840;-85.2156186294;3;2;5;35.3000000000;31.7000000000;23.2000000000;21.8400000000;25.5000000000;19.5000000000;2
16.3805263840;-85.2156186294;3;2;5;35.3000000000;31.7000000000;23.2000000000;21.8400000000;25.5000000000;19.5000000000;2
57.6870548942;47.3010795682;2;2;4;36.7500000000;36.0000000000;29.6400000000;29.2400000000;42.5000000000;37.3333333333;2
23.8375350140;17.5867768595;2;0;2;38.0000000000;11.5000000000;27.4000000000;25.0400000000;40.0000000000;27.6250000000;1
47.3010795682;-12.5118236745;2;0;2;45.7500000000;34.7500000000;29.2400000000;29.2400000000;32.8750000000;38.7500000000;1
-12.5118236745;-12.0425809609;1;2;3;28.0000000000;34.3333333333;29.2400000000;26.7200000000;34.0000000000;33.0000000000;1
42.4316770186;23.8375350140;3;2;5;36.8000000000;28.7000000000;23.1200000000;27.4000000000;24.4166666667;37.1666666667;2
-12.0425809609;57.6870548942;1;1;2;34.0000000000;36.0000000000;26.7200000000;29.6400000000;31.0833333333;38.4166666667;2
-12.0425809609;47.3010795682;0;2;2;25.7500000000;43.5000000000;26.7200000000;29.2400000000;33.5000000000;33.3750000000;2
17.5867768595;42.4316770186;1;1;2;25.2500000000;23.7500000000;25.0400000000;23.1200000000;20.7500000000;27.6250000000;1
-12.5118236745;57.6870548942;1;2;3;34.3333333333;37.8333333333;29.2400000000;29.6400000000;35.5833333333;39.9166666667;2
23.8375350140;42.4316770186;2;3;5;28.7000000000;36.8000000000;27.4000000000;23.1200000000;37.1666666667;24.4166666667;1
57.6870548942;47.3010795682;2;2;4;36.7500000000;36.0000000000;29.6400000000;29.2400000000;42.5000000000;37.3333333333;1
-33.0919230298;34.3892391761;0;2;2;20.5000000000;40.7500000000;24.4400000000;28.6400000000;33.0625000000;34.5625000000;2
53.8863826232;-17.4413407821;1;1;2;26.2500000000;29.5000000000;26.2400000000;25.1200000000;34.4375000000;31.8750000000;1
79.6918238994;-80.6252587992;2;0;2;40.5000000000;21.7500000000;26.7600000000;22.8800000000;31.6875000000;30.3125000000;1
-33.0919230298;-80.6252587992;1;1;2;41.2500000000;42.2500000000;24.4400000000;22.8800000000;27.8750000000;25.1875000000;1
-14.4319248826;34.3892391761;1;1;2;36.5000000000;43.0000000000;29.4400000000;28.6400000000;36.8750000000;34.0000000000;2
-33.0919230298;-14.4319248826;2;0;2;46.5000000000;39.0000000000;24.4400000000;29.4400000000;26.5625000000;36.2500000000;1
79.6918238994;34.3892391761;2;0;2;39.0000000000;22.7500000000;26.7600000000;28.6400000000;32.0625000000;39.0625000000;1
79.6918238994;-14.4319248826;1;1;2;26.0000000000;30.7500000000;26.7600000000;29.4400000000;35.3125000000;38.3125000000;1
-80.6252587992;34.3892391761;0;2;2;18.0000000000;40.5000000000;22.8800000000;28.6400000000;31.2500000000;34.6250000000;2
-33.0919230298;79.6918238994;0;2;2;11.0000000000;37.7500000000;24.4400000000;26.7600000000;35.4375000000;32.3750000000;2
-14.4319248826;-80.6252587992;1;1;2;39.5000000000;30.7500000000;29.4400000000;22.8800000000;36.1250000000;28.0625000000;1
25.4530889937;-44.5130718954;1;1;2;37.7500000000;32.7500000000;26.3600000000;27.2800000000;31.7500000000;34.4375000000;2
0.3467406380;-44.5130718954;1;1;2;33.2500000000;39.2500000000;25.7200000000;27.2800000000;31.8750000000;32.8125000000;2
25.4530889937;0.3467406380;2;0;2;41.2500000000;28.2500000000;26.3600000000;25.7200000000;30.8750000000;33.1250000000;1
-19.8945628694;-19.0310614689;2;1;3;41.0000000000;32.3333333333;24.4400000000;27.4000000000;26.0714285714;35.0714285714;2
-7.3324410584;-13.2969194710;1;0;1;44.5000000000;37.0000000000;27.2800000000;28.7600000000;36.2500000000;34.3750000000;1
76.0050125313;53.1682568628;0;1;1;37.5000000000;46.0000000000;31.7200000000;29.5200000000;37.1666666667;33.0000000000;2
42.9319778319;14.9273434302;2;2;4;36.3750000000;32.8750000000;31.5600000000;26.4800000000;38.5000000000;34.5833333333;2
-63.5982038266;9.3755188829;1;2;3;31.5000000000;33.1666666667;25.0400000000;26.3200000000;32.4285714286;36.0714285714;1
8.2932026422;-32.6502398454;2;0;2;41.5000000000;17.5000000000;27.0400000000;23.2000000000;31.7500000000;34.3750000000;1
52.3790186125;41.3412932971;0;2;2;23.7500000000;41.7500000000;30.7200000000;26.1200000000;43.3750000000;28.2500000000;2
-64.4708122067;1.0263929619;0;3;3;15.5000000000;39.1666666667;23.1200000000;24.0000000000;35.3000000000;20.4000000000;2
8.2932026422;48.2670025189;1;1;2;32.0000000000;31.5000000000;27.0400000000;30.0400000000;36.5000000000;37.7500000000;1
86.2163698371;1.0263929619;3;0;3;38.5000000000;15.3333333333;29.6800000000;24.0000000000;38.4000000000;34.7000000000;1
-32.6502398454;48.2670025189;1;1;2;26.5000000000;32.0000000000;23.2000000000;30.0400000000;29.8750000000;37.5000000000;1
42.7510620221;-20.2035911409;1;0;1;42.5000000000;23.5000000000;26.6800000000;25.2000000000;34.8000000000;35.5000000000;1
-32.6502398454;48.2670025189;1;1;2;26.5000000000;32.0000000000;23.2000000000;30.0400000000;29.8750000000;37.5000000000;2
31.0492139440;23.1328478583;3;1;4;37.8750000000;32.2500000000;23.9200000000;30.8400000000;29.0000000000;38.1250000000;2
8.2932026422;48.2670025189;1;1;2;32.0000000000;31.5000000000;27.0400000000;30.0400000000;36.5000000000;37.7500000000;2
-110.8033707865;-20.2035911409;0;2;2;16.0000000000;39.5000000000;18.3200000000;25.2000000000;24.6250000000;29.5000000000;2
86.2163698371;-64.4708122067;2;2;4;33.8750000000;27.3750000000;29.6800000000;23.1200000000;39.2142857143;27.2857142857;2
8.2932026422;-32.6502398454;2;0;2;41.5000000000;17.5000000000;27.0400000000;23.2000000000;31.7500000000;34.3750000000;1
52.3790186125;41.3412932971;0;2;2;23.7500000000;41.7500000000;30.7200000000;26.1200000000;43.3750000000;28.2500000000;2
-110.8033707865;42.7510620221;0;1;1;19.0000000000;42.0000000000;18.3200000000;26.6800000000;29.6000000000;34.9000000000;2
22.2288078171;1.5868274121;1;1;2;28.7500000000;35.7500000000;26.2800000000;25.5600000000;33.8750000000;31.0000000000;2
22.2288078171;56.5668500359;0;2;2;24.0000000000;40.7500000000;26.2800000000;27.4000000000;35.0625000000;32.6250000000;2
56.5668500359;1.5868274121;2;0;2;40.2500000000;15.2500000000;27.4000000000;25.5600000000;32.7500000000;36.1250000000;1
11.9125683060;-77.1079161416;2;2;4;34.2500000000;26.7500000000;28.8000000000;17.5200000000;36.3333333333;23.8333333333;1
11.9125683060;43.3199700534;0;2;2;32.5000000000;45.7500000000;28.8000000000;30.0000000000;34.5000000000;32.7500000000;2
43.3199700534;-77.1079161416;1;1;2;27.7500000000;31.5000000000;30.0000000000;17.5200000000;41.7500000000;28.3750000000;1
-77.1079161416;11.9125683060;2;2;4;26.7500000000;34.2500000000;17.5200000000;28.8000000000;23.8333333333;36.3333333333;1
43.3199700534;11.9125683060;2;0;2;45.7500000000;32.5000000000;30.0000000000;28.8000000000;32.7500000000;34.5000000000;1
-77.1079161416;43.3199700534;1;1;2;31.5000000000;27.7500000000;17.5200000000;30.0000000000;28.3750000000;41.7500000000;1
13.9004185184;7.8486540004;4;1;5;34.7000000000;24.4000000000;25.8400000000;29.0000000000;31.5000000000;42.4166666667;1
4.2074592075;-43.7248218159;2;2;4;33.7500000000;37.1250000000;24.6800000000;25.0400000000;26.3333333333;26.9166666667;1
4.6137986893;49.0977443609;0;2;2;26.2500000000;42.7500000000;26.0400000000;31.4800000000;27.5000000000;39.8750000000;2
2.9166666667;9.2363059248;1;1;2;39.5000000000;33.5000000000;26.6000000000;28.5600000000;30.6250000000;32.7500000000;2
-43.7248218159;7.8486540004;1;3;4;32.3750000000;41.2500000000;25.0400000000;29.0000000000;30.5833333333;32.9166666667;2
4.2074592075;13.9004185184;5;3;8;35.2500000000;32.5625000000;24.6800000000;25.8400000000;29.4166666667;31.4166666667;2
-63.6438859945;-3.7121764491;0;2;2;30.5000000000;44.5000000000;23.8400000000;28.4000000000;27.8750000000;34.6250000000;2
15.4604590651;-17.9315806145;0;2;2;30.2500000000;44.0000000000;27.6000000000;27.8800000000;39.0000000000;40.6250000000;2
4.6137986893;-17.8267422763;2;2;4;31.2500000000;27.7500000000;26.0400000000;17.6400000000;25.5000000000;12.8750000000;2
12.1078939910;46.7637625532;1;1;2;42.2500000000;42.2500000000;29.9200000000;32.4800000000;38.5000000000;41.7500000000;2
-63.6438859945;-17.9315806145;1;1;2;34.2500000000;36.7500000000;23.8400000000;27.8800000000;26.0000000000;44.2500000000;1
-7.5026343519;4.6372556594;1;2;3;30.5000000000;40.5000000000;23.8400000000;30.0400000000;27.1250000000;41.6250000000;2
-2.1648460775;9.2363059248;2;2;4;28.6250000000;28.7500000000;28.2400000000;28.5600000000;37.0714285714;40.5000000000;1
15.4604590651;-3.7121764491;1;1;2;35.5000000000;39.5000000000;27.6000000000;28.4000000000;36.3750000000;37.1250000000;1
2.9166666667;-2.1648460775;1;1;2;34.0000000000;34.2500000000;26.6000000000;28.2400000000;33.3750000000;28.5000000000;1
-17.8267422763;49.0977443609;1;3;4;20.5000000000;36.6250000000;17.6400000000;31.4800000000;25.0000000000;42.0833333333;2
-63.6438859945;15.4604590651;0;4;4;22.3750000000;41.8750000000;23.8400000000;27.6000000000;33.0833333333;30.5000000000;2
-17.9315806145;-3.7121764491;2;0;2;44.5000000000;29.7500000000;27.8800000000;28.4000000000;40.3750000000;42.0000000000;1
9.2363059248;2.9166666667;1;1;2;33.5000000000;39.5000000000;28.5600000000;26.6000000000;32.7500000000;30.6250000000;2
16.7194055007;4.6372556594;2;3;5;26.0000000000;32.8000000000;25.0000000000;30.0400000000;37.0000000000;35.9166666667;2
49.0977443609;4.6137986893;2;0;2;42.7500000000;26.2500000000;31.4800000000;26.0400000000;39.8750000000;27.5000000000;1
-3.7121764491;-63.6438859945;2;0;2;44.5000000000;30.5000000000;28.4000000000;23.8400000000;34.6250000000;27.8750000000;1
-7.5026343519;16.7194055007;1;2;3;33.6666666667;36.8333333333;23.8400000000;25.0000000000;27.1000000000;33.4000000000;1
-17.9315806145;15.4604590651;2;0;2;44.0000000000;30.2500000000;27.8800000000;27.6000000000;40.6250000000;39.0000000000;1
-17.8267422763;4.6137986893;2;2;4;27.7500000000;31.2500000000;17.6400000000;26.0400000000;12.8750000000;25.5000000000;2
9.2363059248;-2.1648460775;2;2;4;28.7500000000;28.6250000000;28.5600000000;28.2400000000;40.5000000000;37.0714285714;1
-17.9315806145;-63.6438859945;1;1;2;36.7500000000;34.2500000000;27.8800000000;23.8400000000;44.2500000000;26.0000000000;1
4.6372556594;-7.5026343519;2;1;3;40.5000000000;30.5000000000;30.0400000000;23.8400000000;41.6250000000;27.1250000000;1
-2.1648460775;2.9166666667;1;1;2;34.2500000000;34.0000000000;28.2400000000;26.6000000000;28.5000000000;33.3750000000;1
15.4604590651;-63.6438859945;4;0;4;41.8750000000;22.3750000000;27.6000000000;23.8400000000;30.5000000000;33.0833333333;1
46.7637625532;12.1078939910;1;1;2;42.2500000000;42.2500000000;32.4800000000;29.9200000000;41.7500000000;38.5000000000;2
49.0977443609;-17.8267422763;3;1;4;36.6250000000;20.5000000000;31.4800000000;17.6400000000;42.0833333333;25.0000000000;1
-3.7121764491;15.4604590651;1;1;2;39.5000000000;35.5000000000;28.4000000000;27.6000000000;37.1250000000;36.3750000000;1
4.6372556594;16.7194055007;3;2;5;32.8000000000;26.0000000000;30.0400000000;25.0000000000;35.9166666667;37.0000000000;1
-3.7121764491;-17.9315806145;0;2;2;29.7500000000;44.5000000000;28.4000000000;27.8800000000;42.0000000000;40.3750000000;2
16.7194055007;-7.5026343519;2;1;3;36.8333333333;33.6666666667;25.0000000000;23.8400000000;33.4000000000;27.1000000000;1
81.0279667423;-58.3888977333;2;0;2;42.2500000000;28.5000000000;30.3600000000;24.4800000000;37.4375000000;32.6250000000;1
